language,link,question_number,question,n_correct,correct_models,wrong_models
eng_Latn,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Synchronous_and_asynchronous_communication_methods,2,"According to the passage, which of the following aspects of asynchronous communication is not flexible for students?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes,2,How long have humans been magnifying objects using lenses?,0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikibooks.org/wiki/History_of_Rail_Transport/Early_Rail_Transportation,1,"According to the passage, what was iron used for first?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikibooks.org/wiki/The_Seven_Wonders_of_the_World/The_Great_Pyramid,1,What can be found at The Giza Plateau?,0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,"https://en.wikinews.org/wiki/Beverly_Hall,_indicted_public_school_superintendent,_dies_aged_68",2,"Based on the information given in the passage, what was not mentioned in the Atlanta Journal-Constitution’s report?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikinews.org/wiki/Hungary%27s_St_Stephen%27s_Day_hit_by_storm:_3_left_dead,2,"According to Versace, when did the strongest winds begin?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikinews.org/wiki/Iranian_passenger_jet%27s_wheel_catches_fire,2,Which of the following is not a reason for the multitude of air accidents that occur in Iran?,0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Auckland,2,"According the passage, where are swimming conditions likely to be the safest?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Auschwitz-Birkenau,1,"While visiting the location described in the passage, which of the following would be deemed as inappropriate?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Auxiliary_languages,2,Which statement does not accurately describe auxiliary languages?,0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Beijing_2022,2,"According to the passage, which of the following will be hosted by Beijing in 2022?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Cross_country_skiing,2,"According to the passage, what might help backcountry skiers who want to reach higher speeds?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Thimphu,1,"According to the passage, which scenario would be ideal for a traveler planning to take a bus from the inter-district station?",0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikivoyage.org/wiki/Timbuktu,2,Which of the following facts about Timbuktu is true?,0,,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it|local_Gemma-4_E4B_Q8_0_think
eng_Latn,https://en.wikibooks.org/wiki/Modern_Photography/Lenses,2,"Based on the information in the passage, when might a zoom lens be preferable to a prime lens?",1,local_Gemma-4_E4B_Q8_0_think,anthropic_claude-haiku-4.5|anthropic_claude-sonnet-4.6|google_gemma-4-26b-a4b-it
