link,question_number,eng_question,n_wrong_total,n_wrong_eng,n_wrong_est,n_wrong_fin,n_wrong_swe
https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes,2,How long have humans been magnifying objects using lenses?,16,4,4,4,4
https://en.wikibooks.org/wiki/The_Seven_Wonders_of_the_World/The_Great_Pyramid,1,What can be found at The Giza Plateau?,16,4,4,4,4
"https://en.wikinews.org/wiki/Beverly_Hall,_indicted_public_school_superintendent,_dies_aged_68",2,"Based on the information given in the passage, what was not mentioned in the Atlanta Journal-Constitution’s report?",16,4,4,4,4
https://en.wikivoyage.org/wiki/Auschwitz-Birkenau,1,"While visiting the location described in the passage, which of the following would be deemed as inappropriate?",16,4,4,4,4
https://en.wikivoyage.org/wiki/Auxiliary_languages,2,Which statement does not accurately describe auxiliary languages?,16,4,4,4,4
https://en.wikivoyage.org/wiki/Thimphu,1,"According to the passage, which scenario would be ideal for a traveler planning to take a bus from the inter-district station?",16,4,4,4,4
https://en.wikivoyage.org/wiki/Timbuktu,2,Which of the following facts about Timbuktu is true?,16,4,4,4,4
https://en.wikibooks.org/wiki/History_of_Rail_Transport/Early_Rail_Transportation,1,"According to the passage, what was iron used for first?",15,4,3,4,4
https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,1,Which of the following is not an accurate fact about the Hangeul alphabet?,15,3,4,4,4
https://en.wikinews.org/wiki/Iranian_passenger_jet%27s_wheel_catches_fire,2,Which of the following is not a reason for the multitude of air accidents that occur in Iran?,15,4,4,3,4
https://en.wikinews.org/wiki/Jenson_Button_wins_2006_Hungarian_Grand_Prix,1,When did Alonso end his race?,15,3,4,4,4
https://en.wikivoyage.org/wiki/Auckland,2,"According the passage, where are swimming conditions likely to be the safest?",15,4,4,4,3
https://en.wikivoyage.org/wiki/Cross_country_skiing,2,"According to the passage, what might help backcountry skiers who want to reach higher speeds?",15,4,4,4,3
https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Synchronous_and_asynchronous_communication_methods,2,"According to the passage, which of the following aspects of asynchronous communication is not flexible for students?",13,4,2,4,3
"https://en.wikinews.org/wiki/Benin,_Nigeria_join_African_Union_continental_free_trade_bloc",1,Which of the following was not cited by Albert Muchanga as something that still needed to be agreed upon?,13,2,3,4,4
https://en.wikivoyage.org/wiki/Aggregators,1,"Based on the passage, which of the following should a price-conscious traveler do last?",13,3,3,3,4
https://en.wikibooks.org/wiki/Modern_Photography/Lenses,2,"Based on the information in the passage, when might a zoom lens be preferable to a prime lens?",12,3,3,3,3
https://en.wikibooks.org/wiki/Wikijunior:World_Heritage_Sites/Pyramids_of_Giza,1,"According to the passage, what quality of the Giza pyramids wasn’t likely to be marveled at by the New Kingdom Egyptians?",12,3,3,2,4
https://en.wikinews.org/wiki/Bomb_blasts_kill_several_in_Iran,1,"According to the passage, what information is known following the bombing?",12,3,4,4,1
https://en.wikinews.org/wiki/Hungary%27s_St_Stephen%27s_Day_hit_by_storm:_3_left_dead,2,"According to Versace, when did the strongest winds begin?",12,4,3,4,1
https://en.wikinews.org/wiki/Nathalie_Carpanedo_finishes_wild_card_run_at_2013_IPC_Alpine_World_Championships,1,How many competitors did not finish the Giant Slalom?,12,3,3,2,4
https://en.wikinews.org/wiki/US_officials_flood_Grand_Canyon_to_restore_ecosystem,2,Which of the following did the building of the dam affect permanently?,12,2,4,4,2
https://en.wikivoyage.org/wiki/Beijing_2022,2,"According to the passage, which of the following will be hosted by Beijing in 2022?",12,4,4,1,3
https://en.wikibooks.org/wiki/Communication_Theory/Uses_and_Gratifications,2,Which of the following does not reflect a motivation to use the internet for personal involvement?,11,2,3,3,3
https://en.wikibooks.org/wiki/Modern_Photography/Composition,1,Which of the following is not an object of the rule of thirds?,11,2,4,1,4
https://en.wikinews.org/wiki/DeLay_declares_%27victory%27_in_war_on_U.S._budget_fat,1,"Based on the passage, what is not be criticized by conservatives?",11,3,3,2,3
https://en.wikivoyage.org/wiki/Travel_basics,1,"According to the passage, what could help a traveler avoid disappointment while visiting new places?",11,3,1,4,3
https://en.wikivoyage.org/wiki/War_zone_safety,1,"According to the passage, which of the following issues is most likely to not be covered in a professional training class or in publications?",11,2,3,3,3
https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan,1,Which statement about The Drukgyal Dzong is not true?,10,0,4,2,4
https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan,2,Which statement accurately describes the outcome of the fire at the Drukgyal Dzong?,10,3,1,2,4
https://en.wikinews.org/wiki/Nathalie_Carpanedo_finishes_wild_card_run_at_2013_IPC_Alpine_World_Championships,2,Which of the following statements accurately reflects the results of the races at the Championships?,10,2,3,2,3
https://en.wikivoyage.org/wiki/Airline_alliances,1,"Based on the passage, when choosing a Frequent Flyer airline in an alliance, which of the following should you prioritize?",10,2,3,1,4
https://en.wikivoyage.org/wiki/French_phrasebook,1,Which of the following might not be understood by French-speaking Belgians and Swiss?,10,3,3,2,2
https://en.wikinews.org/wiki/Another_arrest_in_Minnesota_school_shooting,2,"According to the passage, while news was spreading about another arrest, funerals were being held for how many victims?",9,1,4,1,3
https://en.wikinews.org/wiki/Iranian_passenger_jet%27s_wheel_catches_fire,1,Which of the following aircraft accidents had the most fatalities?,9,0,4,1,4
https://en.wikinews.org/wiki/Researchers_report_rapid_formation_of_new_bird_species_in_Gal%C3%A1pagos_islands,1,"According to the passage, which of the following took less time than researchers had originally believed?",9,1,3,4,1
https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,1,"According to the passage, which club did Vidal start playing for three seasons ago?",9,3,2,4,0
